,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
V1,1.104,22.702,0.65,-0.134,-0.231,-0.178,-0.259,-0.338,-0.32,-4.577,-0.118,-0.189,-0.238,0.078,0.146,-0.095,0.121,-0.052,0.077,0.064,0.073,-0.061,-0.175,-0.023,-0.091
V2,22.702,665.928,19.159,-2.864,-6.268,-4.474,-7.027,-8.52,-8.08,-118.526,-3.179,-4.457,-5.633,1.789,3.11,-2.377,2.61,-1.631,2.979,2.604,2.331,-2.235,-5.069,-1.491,-1.96
V3,0.65,19.159,1.594,-0.082,-0.246,-0.14,-0.267,-0.263,-0.217,-3.207,-0.073,-0.129,-0.155,0.117,0.098,-0.075,0.056,-0.036,0.077,0.016,0.073,0.039,-0.151,-0.075,-0.013
V4,-0.134,-2.864,-0.082,0.821,0.453,0.369,0.272,0.316,0.332,4.661,0.096,0.149,0.041,-0.122,-0.138,0.118,-0.151,0.066,-0.125,-0.114,-0.125,0.105,0.108,0.105,0.05
V5,-0.231,-6.268,-0.246,0.453,1.045,0.372,0.346,0.389,0.413,7.486,0.313,0.31,0.229,-0.146,-0.177,0.146,-0.166,0.173,-0.147,-0.085,-0.122,0.146,0.236,0.081,0.137
V6,-0.178,-4.474,-0.14,0.369,0.372,0.53,0.258,0.325,0.35,5.334,0.189,0.259,0.182,-0.129,-0.105,0.195,-0.206,0.178,-0.062,-0.034,-0.058,0.105,0.148,0.052,0.078
V7,-0.259,-7.027,-0.267,0.272,0.346,0.258,0.53,0.445,0.419,6.565,0.211,0.232,0.239,-0.167,-0.156,0.136,-0.158,0.13,-0.202,-0.194,-0.17,0.096,0.162,0.056,0.092
V8,-0.338,-8.52,-0.263,0.316,0.389,0.325,0.445,1.02,0.797,7.564,0.304,0.357,0.317,-0.161,-0.164,0.199,-0.215,0.171,-0.242,-0.202,-0.18,0.162,0.276,0.052,0.141
V9,-0.32,-8.08,-0.217,0.332,0.413,0.35,0.419,0.797,0.974,8.457,0.343,0.385,0.333,-0.189,-0.213,0.212,-0.25,0.21,-0.211,-0.141,-0.133,0.225,0.269,0.037,0.13
V10,-4.577,-118.526,-3.207,4.661,7.486,5.334,6.565,7.564,8.457,515.206,8.958,9.111,9.218,-7.131,-6.734,6.029,-7.237,6.099,-7.666,-7.124,-7.723,6.445,9.136,2.67,4.759
V11,-0.118,-3.179,-0.073,0.096,0.313,0.189,0.211,0.304,0.343,8.958,1.149,0.714,0.624,-0.18,-0.208,0.192,-0.232,0.247,-0.178,-0.163,-0.173,0.177,0.268,0.079,0.178
V12,-0.189,-4.457,-0.129,0.149,0.31,0.259,0.232,0.357,0.385,9.111,0.714,0.973,0.682,-0.2,-0.215,0.198,-0.271,0.26,-0.16,-0.125,-0.126,0.182,0.337,0.06,0.213
V13,-0.238,-5.633,-0.155,0.041,0.229,0.182,0.239,0.317,0.333,9.218,0.624,0.682,1.193,-0.231,-0.173,0.194,-0.245,0.292,-0.191,-0.146,-0.186,0.185,0.353,0.075,0.247
V14,0.078,1.789,0.117,-0.122,-0.146,-0.129,-0.167,-0.161,-0.189,-7.131,-0.18,-0.2,-0.231,0.73,0.329,-0.125,0.146,-0.105,0.168,0.136,0.189,-0.148,-0.164,-0.078,-0.142
V15,0.146,3.11,0.098,-0.138,-0.177,-0.105,-0.156,-0.164,-0.213,-6.734,-0.208,-0.215,-0.173,0.329,1.078,-0.084,0.094,-0.089,0.088,0.136,0.189,-0.148,-0.164,-0.078,-0.142
V16,-0.095,-2.377,-0.075,0.118,0.146,0.195,0.136,0.199,0.212,6.029,0.192,0.198,0.194,-0.125,-0.084,0.372,-0.325,0.285,-0.081,-0.08,-0.079,0.113,0.132,0.057,0.123
V17,0.121,2.61,0.056,-0.151,-0.166,-0.206,-0.158,-0.215,-0.25,-7.237,-0.232,-0.271,-0.245,0.146,0.094,-0.325,0.6,-0.333,0.09,0.094,0.101,-0.135,-0.167,-0.062,-0.2
V18,-0.052,-1.631,-0.036,0.066,0.173,0.178,0.13,0.171,0.21,6.099,0.247,0.26,0.292,-0.105,-0.089,0.285,-0.333,0.514,-0.071,-0.077,-0.07,0.114,0.121,0.053,0.16
V19,0.077,2.979,0.077,-0.125,-0.147,-0.062,-0.202,-0.242,-0.211,-7.666,-0.178,-0.16,-0.191,0.168,0.088,-0.081,0.09,-0.071,0.729,0.556,0.579,-0.104,-0.237,-0.074,-0.078
