"","Subject","EVT","PPVT","Age","Condition","Latency"
"1","012",43,86,31,"nonsense",1.88096512692628
"2","043",39,51,32,"nonsense",1.89435471503121
"3","046",59,70,42,"nonsense",1.82700429068553
"4","048",51,55,37,"nonsense",1.86808836921837
"5","049",55,94,46,"nonsense",1.85441076764925
"6","050",48,76,46,"nonsense",1.87139653676482
"7","051",58,118,46,"nonsense",1.86872462978575
"8","052",84,108,47,"nonsense",1.86380997458628
"9","053",61,87,44,"nonsense",1.87652862790116
"10","061",39,59,39,"nonsense",1.88956172081486
"11","063",51,64,40,"nonsense",1.86074951826067
"12","064",61,73,43,"nonsense",1.86973730409935
"13","065",50,65,36,"nonsense",1.84475484899307
"14","066",51,90,32,"nonsense",1.86131489208101
"15","068",27,45,41,"nonsense",1.85676459023435
"16","070",65,63,38,"nonsense",1.84875082727898
"17","071",59,59,38,"nonsense",1.86445009797389
"18","073",52,61,40,"nonsense",1.86644836470153
"19","074",43,56,37,"nonsense",1.86337972838503
"20","076",47,58,43,"nonsense",1.84806346400913
"21","078",71,92,37,"nonsense",1.8438063288941
"22","079",77,105,44,"nonsense",1.85771730937611
"23","082",90,107,47,"nonsense",1.86008456593252
"24","092",70,94,48,"nonsense",1.86344086578158
"25","094",64,90,39,"nonsense",1.90562033450584
"26","012",43,86,31,"real",1.90302233134175
"27","043",39,51,32,"real",1.85624374241757
"28","046",59,70,42,"real",1.87193227796215
"29","048",51,55,37,"real",1.88141264803333
"30","049",55,94,46,"real",1.84986991949187
"31","050",48,76,46,"real",1.87835560454575
"32","051",58,118,46,"real",1.89273406832595
"33","052",84,108,47,"real",1.84246349034072
"34","053",61,87,44,"real",1.87550787699532
"35","061",39,59,39,"real",1.87572244012856
"36","063",51,64,40,"real",1.85517315892889
"37","064",61,73,43,"real",1.86331922035535
"38","065",50,65,36,"real",1.86878340115431
"39","066",51,90,32,"real",1.91522393423273
"40","068",27,45,41,"real",1.85227847726516
"41","070",65,63,38,"real",1.83321410143582
"42","071",59,59,38,"real",1.83984985519056
"43","073",52,61,40,"real",1.83552288627195
"44","074",43,56,37,"real",1.92818772551011
"45","076",47,58,43,"real",1.85074377015102
"46","078",71,92,37,"real",1.87744204656004
"47","079",77,105,44,"real",1.89028567847988
"48","082",90,107,47,"real",1.86915287659714
"49","092",70,94,48,"real",1.83338943497817
"50","094",64,90,39,"real",1.85406903657908
